累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年18週(05月01日～05月07日),2023年05月11日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,
,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当
総数,658599,133.48,27508,8.75,9774,3.11,28094,8.94,313598,99.74,4303,1.37,5848,1.86,521,0.17,13242,4.21,5805,1.85,1639,0.52,118,0.17,2701,3.9,128,0.27,167,0.35,183,0.38,8,0.02,77,0.16
北海道,32247,142.06,3642,26.39,610,4.42,2068,14.99,6243,45.24,267,1.93,44,0.32,8,0.06,284,2.06,61,0.44,40,0.29,1,0.03,54,1.86,-,-,-,-,16,0.7,-,-,4,0.17
青森県,11510,182.7,252,6.15,79,1.93,119,2.9,3703,90.32,38,0.93,13,0.32,6,0.15,153,3.73,5,0.12,23,0.56,-,-,6,0.67,3,0.5,3,0.5,35,5.83,-,-,-,-
岩手県,12954,208.94,473,12.13,53,1.36,687,17.62,3768,96.62,31,0.79,17,0.44,1,0.03,230,5.9,3,0.08,13,0.33,-,-,33,2.54,5,0.26,3,0.16,5,0.26,-,-,9,0.47
宮城県,7106,75.6,454,7.96,160,2.81,337,5.91,6597,115.74,66,1.16,12,0.21,18,0.32,278,4.88,7,0.12,24,0.42,-,-,51,4.25,2,0.18,1,0.09,12,1.09,-,-,-,-
秋田県,6348,124.47,60,1.82,46,1.39,230,6.97,1962,59.45,41,1.24,7,0.21,8,0.24,92,2.79,35,1.06,8,0.24,-,-,13,2.17,-,-,-,-,2,0.25,-,-,-,-
山形県,6458,150.19,170,6.07,84,3,203,7.25,3105,110.89,39,1.39,14,0.5,3,0.11,172,6.14,1,0.04,17,0.61,-,-,12,1.5,3,0.3,-,-,1,0.1,-,-,1,0.1
福島県,5879,70.83,1002,20.04,178,3.56,413,8.26,4286,85.72,38,0.76,13,0.26,13,0.26,336,6.72,4,0.08,27,0.54,-,-,69,5.31,2,0.29,1,0.14,5,0.71,-,-,-,-
茨城県,10087,84.06,143,1.91,164,2.19,628,8.37,5366,71.55,91,1.21,100,1.33,8,0.11,174,2.32,36,0.48,32,0.43,2,0.12,177,10.41,-,-,1,0.08,11,0.92,-,-,1,0.08
栃木県,8494,111.76,128,2.67,56,1.17,331,6.9,3733,77.77,61,1.27,28,0.58,4,0.08,237,4.94,8,0.17,17,0.35,-,-,43,3.58,3,0.43,1,0.14,1,0.14,-,-,1,0.14
群馬県,6849,79.64,99,1.87,186,3.51,239,4.51,5153,97.23,94,1.77,28,0.53,18,0.34,293,5.53,14,0.26,42,0.79,-,-,77,5.5,2,0.22,-,-,1,0.11,-,-,-,-
埼玉県,29848,117.51,846,5.29,534,3.34,1088,6.8,17521,109.51,301,1.88,183,1.14,37,0.23,759,4.74,53,0.33,120,0.75,23,0.58,132,3.3,4,0.36,8,0.73,3,0.27,-,-,5,0.45
千葉県,21926,105.41,241,1.85,230,1.77,900,6.92,12743,98.02,195,1.5,104,0.8,20,0.15,430,3.31,49,0.38,82,0.63,3,0.09,144,4.24,3,0.33,5,0.56,-,-,-,-,-,-
東京都,44751,108.88,744,2.87,628,2.42,1804,6.97,27630,106.68,401,1.55,289,1.12,71,0.27,1142,4.41,191,0.74,157,0.61,6,0.16,76,2,10,0.42,16,0.67,6,0.25,6,0.25,3,0.13
神奈川県,44998,126.04,332,1.47,341,1.51,1289,5.7,20253,89.62,223,0.99,138,0.61,41,0.18,871,3.85,116,0.51,141,0.62,7,0.14,405,8.1,6,0.55,18,1.64,5,0.45,-,-,1,0.09
新潟県,17127,199.15,759,13.8,216,3.93,975,17.73,4893,88.96,70,1.27,37,0.67,7,0.13,226,4.11,11,0.2,32,0.58,1,0.1,24,2.4,2,0.17,4,0.33,6,0.5,-,-,1,0.08
富山県,11158,232.46,532,18.34,215,7.41,474,16.34,5170,178.28,47,1.62,14,0.48,3,0.1,95,3.28,27,0.93,9,0.31,-,-,9,1.29,-,-,-,-,-,-,-,-,-,-
石川県,14246,296.79,342,11.79,108,3.72,180,6.21,5101,175.9,41,1.41,115,3.97,1,0.03,126,4.34,63,2.17,11,0.38,1,0.14,43,6.14,1,0.2,2,0.4,7,1.4,-,-,1,0.2
福井県,10010,270.54,464,20.17,189,8.22,322,14,2114,91.91,66,2.87,191,8.3,4,0.17,96,4.17,107,4.65,14,0.61,-,-,3,1,3,0.5,3,0.5,1,0.17,-,-,-,-
山梨県,1920,46.83,70,2.92,8,0.33,23,0.96,2409,100.38,12,0.5,8,0.33,1,0.04,104,4.33,3,0.13,14,0.58,-,-,40,4.44,1,0.1,-,-,1,0.1,-,-,3,0.3
長野県,8594,98.78,245,4.62,92,1.74,178,3.36,6413,121,56,1.06,16,0.3,5,0.09,157,2.96,24,0.45,16,0.3,5,0.5,72,7.2,-,-,5,0.42,4,0.33,-,-,1,0.08
岐阜県,4569,53.13,278,5.35,173,3.33,208,4,3641,70.02,24,0.46,40,0.77,2,0.04,158,3.04,8,0.15,11,0.21,-,-,30,2.73,-,-,6,1.2,-,-,-,-,1,0.2
静岡県,8252,59.37,555,6.31,317,3.6,381,4.33,8535,96.99,107,1.22,78,0.89,17,0.19,333,3.78,27,0.31,63,0.72,1,0.05,39,1.77,7,0.7,7,0.7,6,0.6,-,-,2,0.2
愛知県,23580,120.92,538,2.96,414,2.27,1355,7.45,17393,95.57,189,1.04,117,0.64,21,0.12,523,2.87,56,0.31,66,0.36,3,0.09,44,1.26,7,0.47,5,0.33,-,-,-,-,2,0.13
三重県,8721,122.83,139,3.16,192,4.36,188,4.27,4004,91,88,2,19,0.43,6,0.14,183,4.16,7,0.16,16,0.36,-,-,7,0.58,4,0.44,9,1,3,0.33,-,-,-,-
