報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年20週(05月15日～05月21日),2023年05月24日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,674523,136.76,23566,4.78,36608,7.4,47532,9.6,51439,10.39,62701,12.66,64084,12.95,62286,12.59,55950,11.32,50378,10.18,54846,11.1,41556,8.44,31800,6.44,20038,4.05,13643,2.77,10595,2.15,12305,2.51,10956,2.23,8317,1.7,6648,1.35,9275,1.89
北海道,32962,145.85,1299,5.72,1729,7.55,1869,8.2,2020,8.9,2603,11.37,2738,11.96,2814,12.29,2620,11.44,2327,10.16,2955,12.9,2769,12.09,2004,8.75,1155,5.16,719,3.21,533,2.38,662,2.94,924,4.11,507,2.26,278,1.26,437,1.98
青森県,11820,190.65,209,3.27,379,5.92,513,8.02,670,10.47,997,15.58,1088,17,1060,16.56,970,15.16,972,15.19,958,14.97,680,10.63,845,13.2,518,8.09,429,7.03,286,4.69,259,4.25,423,6.93,254,4.16,147,2.45,163,2.72
岩手県,13184,212.65,107,1.7,144,2.29,68,1.08,103,1.63,355,5.63,914,14.51,2141,34.53,2565,41.37,2102,33.37,1640,26.03,1054,16.73,734,11.65,267,4.24,214,3.51,98,1.61,133,2.18,171,2.8,144,2.29,82,1.3,148,2.35
宮城県,7675,82.53,171,1.8,158,1.66,221,2.33,351,3.69,352,3.71,401,4.22,415,4.37,416,4.38,379,3.99,388,4.08,375,3.95,499,5.25,585,6.03,434,4.67,342,3.76,596,6.55,536,5.89,487,5.35,289,3.28,280,3.18
秋田県,6660,130.59,61,1.2,128,2.51,133,2.61,217,4.25,315,6.18,458,8.98,578,11.33,810,15.88,637,12.49,664,13.02,505,9.9,568,11.14,298,5.84,287,5.52,156,3,185,3.56,197,3.79,151,2.9,140,2.69,172,3.31
山形県,6885,160.12,34,0.77,66,1.5,101,2.3,155,3.52,284,6.45,279,6.34,281,6.39,338,7.68,490,11.14,735,16.7,710,16.14,737,16.75,508,11.55,479,11.14,280,6.51,359,8.35,389,9.05,233,5.42,185,4.3,242,5.63
福島県,6335,77.26,221,2.66,283,3.41,365,4.4,341,4.11,279,3.36,333,4.01,301,3.63,383,4.61,520,6.27,640,7.71,492,5.93,490,5.9,306,3.69,195,2.35,149,1.8,186,2.24,166,2,229,2.76,170,2.07,286,3.49
茨城県,10251,85.43,576,4.8,526,4.38,673,5.61,587,4.89,829,6.91,927,7.79,862,7.18,920,7.67,969,8.08,1072,8.93,712,5.93,493,4.11,280,2.3,209,1.74,126,1.05,141,1.18,99,0.81,86,0.71,66,0.55,98,0.82
栃木県,8693,114.38,179,2.36,239,3.14,433,5.7,452,5.95,531,6.99,575,7.57,844,11.11,760,10,864,11.37,1202,15.82,942,12.39,607,7.99,305,4.01,214,2.82,103,1.36,90,1.18,66,0.87,88,1.16,71,0.93,128,1.68
群馬県,7526,87.51,256,2.98,306,3.56,400,4.65,356,4.14,317,3.69,288,3.35,333,3.87,403,4.69,463,5.38,694,8.07,768,8.93,642,7.47,385,4.48,219,2.52,220,2.53,243,2.79,313,3.6,243,2.83,282,3.24,395,4.54
埼玉県,30746,120.57,1060,4.34,1282,5.03,1814,7.11,1799,7.03,2128,8.31,2113,8.25,2545,9.98,2646,10.38,2722,10.63,3389,13.29,2599,10.44,2011,7.86,1217,4.79,707,2.72,478,1.85,533,2.09,432,1.68,373,1.45,335,1.29,563,2.17
千葉県,22574,108.53,963,4.65,1375,6.55,1786,8.46,1596,7.49,2216,10.45,1995,9.5,2180,10.28,1898,8.95,1796,8.51,1814,8.6,1183,5.8,721,3.45,589,2.85,366,1.78,420,2.01,445,2.14,364,1.78,219,1.11,237,1.14,411,2
東京都,45986,111.62,1475,3.61,2174,5.3,3518,8.5,3790,9.15,4033,9.77,4008,9.7,4138,10.04,3499,8.53,3449,8.35,4291,10.42,3158,7.74,2144,5.19,1487,3.58,953,2.32,793,1.92,756,1.83,630,1.53,455,1.11,397,0.96,838,2.01
神奈川県,45659,127.54,1411,3.91,2031,5.56,3175,8.72,3556,9.88,4534,12.59,4022,11.2,4878,13.51,4601,12.82,4101,11.39,4424,12.53,2998,8.54,1867,5.27,1055,2.95,679,1.91,424,1.19,564,1.58,394,1.12,284,0.8,270,0.75,391,1.09
新潟県,18098,212.92,200,2.33,394,4.53,473,5.44,530,6.09,437,5.02,519,5.97,500,5.75,662,7.61,853,9.8,1356,15.59,1692,19.45,1690,19.43,1586,18.44,1195,14.06,1125,13.39,1779,21.18,1358,16.17,778,9.26,474,5.64,497,5.92
富山県,11193,233.19,171,3.56,313,6.52,400,8.33,543,11.31,729,15.19,1193,24.85,1343,27.98,1433,29.85,1260,26.25,1249,26.02,912,19,665,13.85,340,7.08,227,4.73,139,2.9,127,2.65,87,1.81,27,0.56,13,0.27,22,0.46
石川県,14260,297.08,205,4.27,341,7.1,657,13.69,841,17.52,1100,22.92,1943,40.48,2229,46.44,2312,48.17,1621,33.77,1204,25.08,746,15.54,492,10.25,187,3.9,174,3.63,88,1.83,54,1.13,23,0.48,29,0.6,10,0.21,4,0.08
福井県,10028,271.03,122,3.3,203,5.49,449,12.14,939,25.38,1312,35.46,1666,45.03,1811,48.95,1227,33.16,868,23.46,684,18.49,336,9.08,162,4.38,110,2.97,60,1.62,33,0.89,14,0.38,4,0.11,10,0.26,13,0.33,5,0.13
山梨県,1954,47.66,134,3.27,128,3.12,76,1.85,54,1.32,103,2.51,112,2.73,80,1.95,138,3.37,119,2.9,156,3.8,177,4.32,145,3.54,123,3,81,1.98,59,1.44,103,2.51,66,1.61,66,1.61,25,0.61,9,0.22
長野県,8917,102.49,286,3.25,350,3.98,490,5.57,342,3.89,489,5.56,820,9.43,952,10.94,963,11.07,794,9.13,937,10.77,693,7.97,433,4.98,291,3.34,135,1.55,160,1.84,197,2.26,117,1.34,145,1.67,127,1.44,196,2.23
岐阜県,4725,54.94,255,2.93,350,4.02,297,3.41,371,4.26,374,4.3,388,4.46,274,3.15,268,3.08,289,3.32,335,3.85,342,3.93,278,3.2,201,2.36,158,1.82,125,1.44,90,1.03,59,0.68,115,1.32,74,0.85,82,0.94
静岡県,8623,62.04,444,3.19,642,4.62,634,4.56,418,3.01,465,3.35,589,4.24,449,3.23,418,3.01,578,4.16,829,5.96,638,4.62,471,3.39,331,2.28,183,1.33,298,2.16,353,2.56,295,2.12,217,1.56,129,0.93,242,1.74
愛知県,24233,124.27,907,4.65,1367,7.01,1552,7.96,1458,7.48,1959,10.05,1818,9.32,1750,8.97,1575,8.08,1581,8.11,2179,11.17,1954,10.02,1600,8.21,1027,5.24,807,4.14,606,3.11,590,3.03,490,2.51,360,1.85,266,1.36,387,1.98
三重県,9046,127.41,309,4.35,477,6.72,625,8.8,580,8.29,703,9.9,477,6.63,493,6.85,583,8.1,577,8.01,574,7.97,681,9.46,567,7.88,310,4.31,276,3.83,255,3.54,418,5.81,399,5.54,417,5.79,191,2.65,134,1.86
滋賀県,8830,149.66,195,3.25,332,5.53,451,7.52,579,9.65,644,10.73,884,14.73,904,15.07,862,14.37,851,14.18,951,15.85,705,11.75,497,8.28,237,3.95,141,2.43,134,2.23,166,2.77,112,1.9,93,1.63,40,0.67,52,0.87
京都府,24165,194.88,691,5.53,1200,9.6,1898,15.18,2510,20.08,3351,26.81,3264,26.11,2974,23.79,2361,18.89,1757,14.17,1566,12.53,970,7.76,606,4.89,267,2.17,185,1.48,130,1.04,135,1.08,79,0.64,41,0.33,66,0.53,114,0.9
大阪府,58846,199.48,2589,8.69,3719,12.48,6195,20.79,7434,24.95,9024,30.28,8576,28.78,6703,22.49,4401,14.82,3100,10.44,2491,8.36,1591,5.34,964,3.23,505,1.69,344,1.17,231,0.78,233,0.8,248,0.84,155,0.53,138,0.48,205,0.71
兵庫県,27952,141.17,824,4.12,1644,8.26,2413,12.13,2790,14.02,3376,16.96,3110,15.63,2828,14.21,2263,11.37,1819,9.14,1958,9.84,1316,6.61,929,4.67,512,2.56,353,1.79,294,1.49,234,1.19,259,1.32,247,1.25,285,1.44,498,2.52
奈良県,8179,148.71,218,3.96,428,7.78,598,10.87,766,13.93,1068,19.42,1111,20.2,912,16.58,745,13.55,612,11.13,469,8.53,399,7.25,335,6.09,156,2.84,83,1.51,55,1,64,1.16,42,0.76,32,0.58,35,0.64,51,0.93
和歌山県,5183,105.78,210,4.29,418,8.53,520,10.61,564,11.51,545,11.12,536,10.51,525,10.71,501,10.22,440,8.98,335,6.84,232,4.73,130,2.65,56,1.14,36,0.73,33,0.67,26,0.53,13,0.27,9,0.18,30,0.61,24,0.49
鳥取県,1771,61.07,121,4.17,122,4.21,112,3.86,66,2.28,83,2.86,93,3.21,90,3.1,82,2.83,121,4.17,178,6.14,132,4.55,143,4.93,104,3.59,42,1.45,40,1.38,26,0.9,70,2.41,59,2.03,40,1.38,47,1.62
島根県,3105,81.71,80,2.11,100,2.63,163,4.29,171,4.5,223,5.87,313,8.24,297,7.82,260,6.84,332,8.74,255,6.71,160,4.21,147,3.87,131,3.45,108,2.84,67,1.76,61,1.61,66,1.74,89,2.34,36,0.95,46,1.21
岡山県,9555,113.75,307,3.65,442,5.26,490,5.83,515,6.13,657,7.82,670,7.98,789,9.39,787,9.37,690,8.21,1037,12.35,871,10.37,589,7.01,385,4.58,270,3.21,207,2.46,248,2.95,218,2.6,145,1.73,125,1.49,113,1.35
広島県,14829,130.08,274,2.4,478,4.16,942,8.19,1010,8.78,1004,8.73,1061,9.23,965,8.39,880,7.65,1033,8.98,1166,10.14,1114,9.69,1158,10.07,913,8.01,626,5.49,434,3.81,479,4.2,435,3.82,312,2.76,222,1.98,323,2.88
山口県,6045,91.59,205,3.11,347,5.34,277,4.2,273,4.14,331,5.02,310,4.7,402,6.09,498,7.55,524,7.94,668,10.12,616,9.33,470,7.12,224,3.39,143,2.13,139,2.14,165,2.54,110,1.69,101,1.51,126,1.88,116,1.73
徳島県,3045,82.3,172,4.65,264,7.14,228,6.16,203,5.49,172,4.65,203,5.49,224,6.05,263,7.11,288,7.78,378,10.22,227,6.14,95,2.57,76,2.05,48,1.3,22,0.59,39,1.05,63,1.7,36,0.97,26,0.7,18,0.49
香川県,6900,146.81,171,3.64,441,9.38,444,9.45,424,9.02,634,13.49,804,17.11,795,16.91,653,13.89,547,11.64,662,14.09,479,10.19,414,8.81,183,3.89,90,1.91,39,0.83,43,0.91,28,0.6,22,0.47,8,0.17,19,0.4
愛媛県,6683,111.38,451,7.39,625,10.25,544,8.92,544,8.92,575,9.43,368,6.03,387,6.34,457,7.49,430,7.05,565,9.26,416,6.82,261,4.28,234,3.9,166,2.72,130,2.13,77,1.26,52,0.85,63,1.03,115,1.89,223,3.66
高知県,4751,107.98,129,2.87,323,7.18,386,8.58,452,10.04,530,11.78,483,10.73,455,10.11,349,7.76,354,7.87,295,6.56,162,3.6,143,3.18,101,2.24,75,1.67,146,3.24,145,3.22,86,1.91,52,1.16,42,0.95,43,0.98
福岡県,43767,221.05,1912,9.66,3456,17.45,4100,20.71,4296,21.7,4822,24.35,4826,24.37,3930,19.85,3060,15.45,2879,14.54,2939,14.84,2026,10.23,1727,8.72,1009,5.1,601,3.04,512,2.59,523,2.64,360,1.82,323,1.63,236,1.19,230,1.16
佐賀県,7451,191.05,393,10.08,616,15.79,660,16.92,489,12.54,738,18.92,697,17.87,767,19.67,691,17.72,627,16.08,565,14.49,285,7.31,202,5.18,167,4.28,111,2.85,114,2.92,67,1.72,88,2.26,63,1.62,50,1.28,61,1.56
長崎県,11096,158.51,498,7.11,1032,14.74,1036,14.8,858,12.26,1013,14.47,1250,17.86,1055,15.07,1045,14.93,880,12.57,782,11.17,377,5.39,275,3.93,211,3.01,169,2.41,86,1.23,105,1.5,83,1.19,68,0.97,118,1.69,155,2.21
熊本県,9262,117.24,437,5.46,688,8.6,700,8.75,726,9.08,833,10.41,913,11.41,731,9.14,583,7.29,582,7.28,707,8.84,554,6.93,436,5.52,287,3.63,154,1.97,92,1.19,112,1.44,124,1.57,147,1.84,215,2.72,241,3.05
大分県,10122,174.52,298,5.14,490,8.45,603,10.4,690,11.9,914,15.76,1215,20.95,846,14.59,1009,17.4,872,15.03,939,16.19,645,11.12,500,8.62,280,4.83,205,3.53,154,2.66,133,2.29,90,1.55,46,0.79,94,1.62,99,1.71
宮崎県,10683,187.42,705,12.37,949,16.65,985,17.59,939,16.47,1273,22.33,1349,23.26,1049,18.09,703,12.12,511,8.81,544,9.38,335,5.78,308,5.31,193,3.33,56,0.97,53,0.91,103,1.78,113,1.98,115,1.98,137,2.36,263,4.53
鹿児島県,8170,89.78,599,6.58,1248,13.57,894,9.72,762,8.28,805,8.75,720,7.83,387,4.21,387,4.21,355,3.86,407,4.42,332,3.61,190,2.07,102,1.13,104,1.16,75,0.83,170,1.89,170,1.89,143,1.59,149,1.64,171,1.88
沖縄県,16100,292.73,1032,18.43,1861,33.23,2171,38.77,2309,41.23,2642,47.18,1664,30.25,1020,18.55,702,12.76,443,8.05,620,11.27,496,9.02,416,7.56,244,4.36,133,2.38,112,2.04,74,1.35,45,0.82,39,0.72,44,0.81,33,0.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,35666,11.35,579,0.18,562,0.18,896,0.28,954,0.3,960,0.3,952,0.3,1010,0.32,964,0.31,1061,0.34,1117,0.35,1229,0.39,1313,0.42,1514,0.48,1688,0.54,2718,0.87,3520,1.12,3388,1.08,3096,0.99,3257,1.04,4888,1.56
北海道,4253,30.82,44,0.32,46,0.33,64,0.46,80,0.58,98,0.71,152,1.09,182,1.31,191,1.37,240,1.73,249,1.79,293,2.11,252,1.81,231,1.66,216,1.55,316,2.27,394,2.81,334,2.39,260,1.87,277,2.02,334,2.44
青森県,315,7.68,3,0.07,11,0.26,11,0.26,13,0.31,5,0.12,3,0.07,21,0.5,0,0,0,0,34,0.81,1,0.02,2,0.05,2,0.05,12,0.3,31,0.78,42,1.05,34,0.85,27,0.68,26,0.68,37,0.97
岩手県,557,14.28,17,0.43,5,0.13,14,0.35,28,0.7,41,1.03,24,0.6,32,0.8,43,1.08,31,0.78,26,0.65,22,0.55,9,0.23,29,0.73,29,0.74,21,0.54,31,0.79,29,0.74,42,1.05,26,0.65,58,1.45
宮城県,546,9.75,24,0.41,9,0.16,53,0.91,28,0.48,21,0.36,24,0.41,35,0.6,33,0.57,38,0.66,13,0.22,16,0.28,9,0.16,14,0.24,23,0.41,30,0.55,35,0.64,22,0.4,27,0.49,31,0.57,61,1.13
秋田県,78,2.36,2,0.06,5,0.15,2,0.06,9,0.27,6,0.18,3,0.09,5,0.15,1,0.03,2,0.06,4,0.12,2,0.06,2,0.06,2,0.06,1,0.03,2,0.06,3,0.09,8,0.24,1,0.03,10,0.29,8,0.24
山形県,188,6.71,8,0.28,7,0.24,25,0.86,17,0.59,18,0.62,10,0.34,19,0.66,23,0.79,14,0.48,5,0.17,6,0.21,4,0.14,3,0.1,3,0.11,3,0.11,2,0.07,2,0.07,1,0.04,7,0.25,11,0.39
福島県,1123,22.92,54,1.08,38,0.76,100,2,117,2.34,104,2.08,68,1.36,59,1.18,42,0.84,44,0.88,46,0.92,40,0.8,41,0.82,38,0.76,32,0.64,39,0.78,57,1.14,38,0.76,45,0.9,37,0.76,84,1.71
茨城県,184,2.45,4,0.05,5,0.07,8,0.11,12,0.16,22,0.29,25,0.33,5,0.07,4,0.05,13,0.17,2,0.03,5,0.07,3,0.04,4,0.05,4,0.05,10,0.13,2,0.03,8,0.1,7,0.09,13,0.17,28,0.37
栃木県,174,3.63,9,0.19,8,0.17,3,0.06,6,0.13,1,0.02,2,0.04,2,0.04,0,0,2,0.04,3,0.06,1,0.02,2,0.04,4,0.08,8,0.17,9,0.19,15,0.31,35,0.73,18,0.38,16,0.33,30,0.63
群馬県,139,2.62,16,0.3,7,0.13,12,0.23,7,0.13,7,0.13,3,0.06,8,0.15,7,0.13,2,0.04,1,0.02,0,0,2,0.04,2,0.04,3,0.06,6,0.11,3,0.06,8,0.15,5,0.09,20,0.37,20,0.37
埼玉県,1165,7.28,16,0.1,9,0.06,15,0.09,23,0.14,13,0.08,23,0.14,22,0.14,23,0.14,27,0.17,28,0.17,35,0.22,37,0.23,53,0.34,68,0.42,110,0.68,136,0.84,116,0.72,92,0.56,122,0.75,197,1.21
千葉県,420,3.26,10,0.08,6,0.05,10,0.08,24,0.18,22,0.17,11,0.08,4,0.03,2,0.02,0,0,5,0.04,8,0.06,9,0.07,8,0.06,11,0.09,26,0.2,22,0.17,31,0.24,32,0.25,65,0.5,114,0.9
東京都,1010,3.9,12,0.05,21,0.08,16,0.06,15,0.06,46,0.18,10,0.04,9,0.03,11,0.04,15,0.06,26,0.1,39,0.15,37,0.14,44,0.17,64,0.25,84,0.32,110,0.42,87,0.33,98,0.38,95,0.36,171,0.66
神奈川県,502,2.22,11,0.05,13,0.06,23,0.1,11,0.05,13,0.06,18,0.08,15,0.07,14,0.06,33,0.14,13,0.06,9,0.04,10,0.04,18,0.08,25,0.11,23,0.1,18,0.08,39,0.17,26,0.12,57,0.25,113,0.49
新潟県,945,17.18,29,0.52,20,0.36,42,0.75,54,0.96,25,0.45,42,0.75,29,0.52,19,0.34,61,1.09,30,0.54,41,0.73,34,0.61,35,0.65,34,0.63,46,0.85,96,1.78,72,1.33,50,0.93,63,1.17,123,2.28
富山県,606,20.9,5,0.17,9,0.31,12,0.41,13,0.45,18,0.62,24,0.83,36,1.24,44,1.52,18,0.62,16,0.55,28,0.97,33,1.14,31,1.07,42,1.45,37,1.28,76,2.62,58,2,32,1.1,30,1.03,44,1.52
石川県,426,14.69,3,0.1,5,0.17,5,0.17,18,0.62,30,1.03,46,1.59,20,0.69,19,0.66,25,0.86,15,0.52,14,0.48,16,0.55,7,0.24,14,0.48,26,0.9,26,0.9,27,0.93,26,0.9,31,1.07,53,1.83
福井県,639,27.78,6,0.26,5,0.22,7,0.3,5,0.22,8,0.35,6,0.26,6,0.26,5,0.22,6,0.26,9,0.39,10,0.43,16,0.7,18,0.78,40,1.74,85,3.7,91,3.96,68,2.96,82,3.28,64,2.56,102,4.08
山梨県,74,3.08,14,0.58,10,0.42,10,0.42,5,0.21,8,0.33,1,0.04,6,0.25,4,0.17,1,0.04,0,0,1,0.04,1,0.04,4,0.17,4,0.17,0,0,1,0.04,0,0,0,0,2,0.08,2,0.08
長野県,282,5.32,25,0.46,20,0.37,22,0.41,33,0.61,14,0.26,5,0.09,9,0.17,9,0.17,10,0.19,7,0.13,10,0.19,15,0.28,15,0.28,4,0.08,8,0.15,15,0.28,11,0.21,13,0.25,11,0.2,26,0.48
岐阜県,425,8.17,5,0.09,4,0.08,2,0.04,1,0.02,1,0.02,6,0.11,10,0.19,11,0.21,4,0.08,8,0.15,6,0.11,10,0.19,12,0.24,23,0.43,30,0.57,45,0.85,44,0.83,56,1.06,59,1.11,88,1.66
静岡県,675,7.67,20,0.22,15,0.17,37,0.42,22,0.25,15,0.17,26,0.29,36,0.4,25,0.28,18,0.2,34,0.38,14,0.16,31,0.35,36,0.39,32,0.36,31,0.35,51,0.58,50,0.57,62,0.7,46,0.52,74,0.83
愛知県,830,4.56,5,0.03,13,0.07,9,0.05,22,0.12,13,0.07,28,0.15,10,0.05,9,0.05,11,0.06,24,0.13,12,0.07,22,0.12,27,0.15,30,0.16,56,0.31,77,0.42,86,0.47,84,0.46,122,0.67,170,0.93
三重県,245,5.57,0,0,0,0,5,0.11,3,0.07,1,0.02,1,0.02,0,0,1,0.02,1,0.02,7,0.16,7,0.16,2,0.04,4,0.09,2,0.04,17,0.38,21,0.47,28,0.62,39,0.87,37,0.82,69,1.53
滋賀県,381,10.89,2,0.06,2,0.06,3,0.08,2,0.06,1,0.03,1,0.03,1,0.03,0,0,4,0.11,2,0.06,3,0.08,9,0.25,8,0.22,8,0.23,22,0.61,49,1.36,81,2.25,38,1.12,59,1.64,86,2.39
京都府,1062,14.16,9,0.12,4,0.05,7,0.09,8,0.11,4,0.05,12,0.16,3,0.04,7,0.09,20,0.26,23,0.3,42,0.55,57,0.76,68,0.89,66,0.87,97,1.28,144,1.89,149,2.01,105,1.38,100,1.32,137,1.78
大阪府,4670,24.2,24,0.12,30,0.15,15,0.08,26,0.13,29,0.15,29,0.15,40,0.21,52,0.27,63,0.32,101,0.52,124,0.64,190,0.97,219,1.12,236,1.22,435,2.24,583,3.04,619,3.17,603,3.11,543,2.86,709,3.73
兵庫県,1914,14.95,8,0.06,21,0.16,16,0.12,22,0.17,12,0.09,22,0.17,27,0.21,41,0.32,30,0.23,35,0.27,46,0.36,70,0.54,92,0.71,94,0.73,140,1.09,205,1.59,233,1.82,196,1.54,265,2.05,339,2.63
奈良県,677,19.91,1,0.03,1,0.03,3,0.09,4,0.12,7,0.21,11,0.32,15,0.44,9,0.26,13,0.38,11,0.32,20,0.59,20,0.59,10,0.29,23,0.68,72,2.12,88,2.59,81,2.38,69,2.03,90,2.65,129,3.79
和歌山県,847,28.23,9,0.3,12,0.4,1,0.03,16,0.53,5,0.17,4,0.13,1,0.03,10,0.33,3,0.1,2,0.07,2,0.07,7,0.23,21,0.7,20,0.67,50,1.67,111,3.7,113,3.77,151,5.03,125,4.17,184,6.13
鳥取県,81,4.26,1,0.05,1,0.05,2,0.11,0,0,0,0,1,0.05,2,0.11,1,0.05,2,0.11,2,0.11,0,0,0,0,1,0.05,0,0,1,0.05,2,0.11,24,1.26,1,0.05,3,0.16,37,1.95
島根県,55,2.39,0,0,0,0,0,0,0,0,0,0,2,0.09,0,0,2,0.09,3,0.13,1,0.04,0,0,0,0,1,0.04,1,0.04,2,0.09,5,0.22,8,0.35,6,0.26,6,0.26,18,0.78
岡山県,375,6.94,9,0.17,20,0.37,19,0.35,16,0.3,46,0.85,12,0.22,8,0.15,18,0.33,25,0.46,17,0.31,12,0.22,7,0.13,14,0.26,12,0.22,18,0.33,27,0.5,37,0.69,17,0.31,13,0.24,28,0.52
広島県,785,11.06,9,0.13,26,0.36,19,0.26,16,0.22,9,0.13,11,0.15,18,0.25,7,0.1,7,0.1,5,0.07,15,0.21,21,0.29,42,0.58,31,0.43,60,0.83,69,0.96,100,1.39,63,0.88,103,1.45,154,2.17
山口県,757,17.2,12,0.27,4,0.09,11,0.24,11,0.24,13,0.29,19,0.42,16,0.36,16,0.36,5,0.11,8,0.18,16,0.36,14,0.31,20,0.44,45,1,54,1.26,75,1.74,54,1.26,72,1.67,96,2.23,196,4.56
徳島県,156,6.78,2,0.09,3,0.13,11,0.48,8,0.35,13,0.57,9,0.39,5,0.22,2,0.09,5,0.22,2,0.09,2,0.09,5,0.22,5,0.22,6,0.26,5,0.22,7,0.3,13,0.57,10,0.43,11,0.48,32,1.39
香川県,233,8.32,13,0.46,7,0.25,3,0.11,6,0.21,4,0.14,14,0.5,17,0.61,10,0.36,7,0.25,2,0.07,5,0.18,5,0.18,3,0.11,10,0.36,11,0.39,27,0.96,26,0.93,23,0.82,11,0.39,29,1.04
愛媛県,444,12.33,6,0.16,7,0.19,6,0.16,6,0.16,18,0.49,21,0.57,26,0.7,14,0.38,17,0.46,9,0.24,10,0.27,7,0.19,24,0.67,9,0.24,23,0.62,41,1.11,39,1.05,61,1.65,50,1.35,50,1.35
高知県,213,8.19,8,0.3,11,0.41,17,0.63,22,0.81,6,0.22,12,0.44,8,0.3,4,0.15,6,0.22,14,0.52,7,0.26,3,0.11,2,0.07,4,0.15,6,0.22,23,0.85,19,0.7,7,0.26,7,0.27,27,1.04
福岡県,2021,16.84,41,0.34,24,0.2,64,0.53,45,0.38,67,0.56,47,0.39,57,0.48,60,0.5,54,0.45,83,0.69,86,0.72,91,0.76,83,0.69,106,0.88,186,1.55,201,1.68,161,1.34,157,1.31,175,1.46,233,1.94
佐賀県,584,25.39,10,0.43,16,0.7,16,0.7,18,0.78,12,0.52,14,0.61,18,0.78,25,1.09,34,1.48,40,1.74,31,1.35,14,0.61,42,1.83,37,1.61,57,2.48,45,1.96,41,1.78,25,1.09,25,1.09,64,2.78
長崎県,859,19.52,21,0.48,21,0.48,36,0.82,28,0.64,35,0.8,41,0.93,63,1.43,23,0.52,29,0.66,24,0.55,32,0.73,45,1.02,50,1.14,55,1.25,60,1.36,68,1.55,90,2.05,59,1.34,38,0.86,41,0.93
熊本県,814,16.61,14,0.28,32,0.64,84,1.68,71,1.42,57,1.14,59,1.18,53,1.06,53,1.06,43,0.86,41,0.82,59,1.18,41,0.84,32,0.65,15,0.31,30,0.64,29,0.6,10,0.2,30,0.6,33,0.66,28,0.56
大分県,302,8.39,2,0.06,0,0,4,0.11,2,0.06,2,0.06,1,0.03,1,0.03,1,0.03,0,0,0,0,2,0.06,9,0.25,5,0.14,8,0.22,39,1.08,20,0.56,36,1,58,1.61,52,1.44,60,1.67
宮崎県,659,18.83,7,0.19,8,0.22,13,0.37,14,0.39,9,0.25,5,0.14,10,0.28,7,0.19,22,0.61,19,0.53,20,0.56,20,0.56,39,1.08,45,1.25,59,1.64,94,2.61,59,1.69,60,1.67,46,1.28,103,2.86
