累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年46週(11月13日～11月19日),2023年11月22日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,,COVID-19,
,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当
総数,1502572,304.72,144445,46,114643,36.51,183177,58.34,658611,209.75,13386,4.26,91624,29.18,1970,0.63,36932,11.76,193610,61.66,6334,2.02,375,0.54,14067,20.27,360,0.75,618,1.29,829,1.73,23,0.05,134,0.28,1257649,255.05
北海道,65200,291.07,9107,65.99,6486,47,10013,72.56,13569,98.33,673,4.88,1099,7.96,53,0.38,850,6.16,11020,79.86,191,1.38,6,0.21,203,7,5,0.22,5,0.22,41,1.78,1,0.04,7,0.3,58125,259.49
青森県,15114,247.77,893,22.9,506,12.97,570,14.62,6375,163.46,100,2.56,634,16.26,15,0.38,380,9.74,2910,74.62,49,1.26,5,0.56,40,4.44,6,1,8,1.33,173,28.83,-,-,-,-,14378,235.7
岩手県,17514,282.48,1582,40.56,447,11.46,1986,50.92,8429,216.13,109,2.79,861,22.08,53,1.36,615,15.77,4404,112.92,62,1.59,-,-,168,12.92,12,0.63,9,0.47,37,1.95,1,0.05,16,0.84,19414,313.13
宮城県,20640,226.81,3070,55.82,1026,18.65,1588,28.87,10895,198.09,244,4.44,1887,34.31,40,0.73,706,12.84,6923,125.87,117,2.13,2,0.18,124,11.27,6,0.6,3,0.3,28,2.8,-,-,-,-,27548,302.73
秋田県,10626,208.35,696,21.09,188,5.7,545,16.52,4066,123.21,145,4.39,658,19.94,13,0.39,238,7.21,1999,60.58,31,0.94,8,1.33,53,8.83,1,0.13,-,-,5,0.63,-,-,-,-,12142,238.08
山形県,10934,254.28,1915,68.39,670,23.93,1226,43.79,5505,196.61,115,4.11,769,27.46,16,0.57,501,17.89,3876,138.43,50,1.79,-,-,42,5.25,4,0.4,4,0.4,4,0.4,-,-,1,0.1,9209,214.16
福島県,22107,269.6,3500,71.43,1204,24.57,2325,47.45,7129,145.49,174,3.55,2159,44.06,49,1,887,18.1,3270,66.73,117,2.39,7,0.54,204,15.69,3,0.43,2,0.29,13,1.86,-,-,1,0.14,22221,270.99
茨城県,30402,253.35,1831,24.41,2459,32.79,4829,64.39,12267,163.56,296,3.95,3708,49.44,93,1.24,582,7.76,2850,38,130,1.73,13,0.76,804,47.29,5,0.42,6,0.5,50,4.17,-,-,1,0.08,36385,303.21
栃木県,17063,224.51,1967,40.98,809,16.85,2074,43.21,5871,122.31,158,3.29,1952,40.67,35,0.73,698,14.54,2790,58.13,74,1.54,-,-,237,19.75,6,0.86,10,1.43,1,0.14,-,-,2,0.29,18516,243.63
群馬県,18215,211.8,1446,27.28,1496,28.23,1900,35.85,11702,220.79,253,4.77,1366,25.77,30,0.57,795,15,3916,73.89,165,3.11,2,0.14,231,16.5,6,0.67,6,0.67,8,0.89,2,0.22,-,-,18175,211.34
埼玉県,92206,358.78,5612,34.86,6457,40.11,12249,76.08,42688,265.14,1030,6.4,6021,37.4,113,0.7,2066,12.83,10343,64.24,491,3.05,70,1.71,746,18.2,10,0.91,34,3.09,14,1.27,-,-,6,0.55,72867,283.53
千葉県,73224,357.19,3248,25.38,4208,32.88,8195,64.02,29199,228.12,471,3.68,3573,27.91,65,0.51,1257,9.82,8126,63.48,301,2.35,9,0.26,698,20.53,13,1.44,16,1.78,8,0.89,-,-,-,-,64616,315.2
東京都,121651,294.55,6959,26.87,9641,37.22,16482,63.64,60173,232.33,1349,5.21,6548,25.28,276,1.07,3131,12.09,16028,61.88,544,2.1,17,0.45,756,19.89,27,1.13,36,1.5,36,1.5,9,0.38,4,0.17,83758,202.8
神奈川県,109533,303.42,5559,24.38,5576,24.46,11509,50.48,43873,192.43,897,3.93,5190,22.76,168,0.74,2498,10.96,11870,52.06,569,2.5,29,0.58,2271,45.42,17,1.55,50,4.55,40,3.64,-,-,1,0.09,80941,224.21
新潟県,26811,315.42,3875,71.76,1187,21.98,3058,56.63,10880,201.48,250,4.63,4376,81.04,31,0.57,610,11.3,4103,75.98,110,2.04,11,1.1,68,6.8,6,0.5,8,0.67,21,1.75,-,-,4,0.33,22901,269.42
富山県,13943,290.48,1710,58.97,1308,45.1,2500,86.21,8939,308.24,137,4.72,1260,43.45,9,0.31,288,9.93,1771,61.07,35,1.21,-,-,57,8.14,3,0.6,2,0.4,8,1.6,-,-,5,1,10623,221.31
石川県,17812,371.08,1374,47.38,831,28.66,1278,44.07,9621,331.76,116,4,1052,36.28,16,0.55,364,12.55,1723,59.41,39,1.34,9,1.29,175,25,2,0.4,8,1.6,12,2.4,-,-,2,0.4,15964,332.58
福井県,11714,308.26,1504,62.67,1280,53.33,1544,64.33,5514,229.75,151,6.29,1548,64.5,19,0.79,271,11.29,1128,47,52,2.17,-,-,13,4.33,9,1.5,12,2,15,2.5,-,-,1,0.17,6947,182.82
