報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,
2024年01週(01月01日～01月07日),2024年01月10日作成,,,
インフルエンザ,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,61918,12.66,61918,12.66
北海道,2222,10.15,2222,10.15
青森県,747,12.66,747,12.66
岩手県,766,12.56,766,12.56
宮城県,1025,11.26,1025,11.26
秋田県,851,17.37,851,17.37
山形県,462,10.74,462,10.74
福島県,1350,16.46,1350,16.46
茨城県,2681,22.34,2681,22.34
栃木県,606,7.97,606,7.97
群馬県,887,10.44,887,10.44
埼玉県,3523,13.82,3523,13.82
千葉県,2901,14.58,2901,14.58
東京都,3162,7.83,3162,7.83
神奈川県,2757,7.77,2757,7.77
新潟県,948,11.02,948,11.02
富山県,498,10.38,498,10.38
石川県,552,12.84,552,12.84
福井県,435,11.15,435,11.15
山梨県,346,8.44,346,8.44
長野県,1183,13.44,1183,13.44
岐阜県,1811,20.82,1811,20.82
静岡県,1611,11.59,1611,11.59
愛知県,3303,16.94,3303,16.94
三重県,995,13.82,995,13.82
滋賀県,881,14.93,881,14.93
京都府,1361,11.16,1361,11.16
大阪府,3572,11.67,3572,11.67
兵庫県,1962,9.91,1962,9.91
奈良県,454,8.25,454,8.25
和歌山県,521,10.63,521,10.63
鳥取県,400,13.79,400,13.79
島根県,443,11.66,443,11.66
岡山県,922,10.98,922,10.98
広島県,1226,10.85,1226,10.85
山口県,752,11.22,752,11.22
徳島県,503,13.59,503,13.59
香川県,651,13.85,651,13.85
愛媛県,588,9.97,588,9.97
高知県,721,16.39,721,16.39
福岡県,3423,17.29,3423,17.29
佐賀県,487,12.49,487,12.49
長崎県,1186,16.94,1186,16.94
熊本県,1275,15.94,1275,15.94
大分県,1114,19.21,1114,19.21
宮崎県,1511,26.05,1511,26.05
鹿児島県,1325,14.89,1325,14.89
沖縄県,1018,18.85,1018,18.85
,,,,
ＲＳウイルス感染症,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,131,0.04,131,0.04
北海道,47,0.35,47,0.35
青森県,1,0.03,1,0.03
岩手県,1,0.03,1,0.03
宮城県,2,0.04,2,0.04
秋田県,0,0,0,0
山形県,2,0.07,2,0.07
福島県,6,0.12,6,0.12
茨城県,6,0.08,6,0.08
栃木県,1,0.02,1,0.02
群馬県,0,0,0,0
埼玉県,2,0.01,2,0.01
