報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年18週(04月29日～05月05日),2024年05月08日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1136680,230.7,62229,12.7,64106,13,87425,17.73,94820,19.22,111574,22.62,118254,23.99,101914,20.65,82850,16.78,68989,13.97,79676,16.14,85196,17.27,69519,14.08,55196,11.18,25126,5.09,13246,2.69,9108,1.85,5253,1.07,2199,0.45
北海道,57098,256.04,2310,10.55,1666,7.4,1205,5.36,1583,7.04,2581,11.47,3772,16.76,4751,21.12,5448,24.21,6159,27.37,7842,35.01,7540,33.66,5446,24.31,3382,15.17,1538,6.9,862,3.87,542,2.43,327,1.47,144,0.67
青森県,10396,179.24,747,12.66,583,9.88,423,7.17,392,6.64,425,7.2,646,11.14,643,10.9,698,11.83,874,14.81,1209,20.84,1294,22.31,1057,18.22,655,11.29,395,6.81,176,3.03,109,1.88,59,1.02,11,0.2
岩手県,11912,195.28,789,12.93,602,9.87,573,9.39,802,13.15,767,12.57,906,15.1,828,13.8,766,12.77,772,12.66,890,14.59,1016,16.66,1090,17.87,812,13.31,502,7.97,343,5.44,260,4.13,144,2.29,50,0.79
宮城県,23393,259.92,1025,11.26,1056,11.6,1579,17.35,2144,23.56,2211,24.3,2329,25.59,1954,21.47,1749,19.22,1537,16.89,1910,20.99,1833,20.14,1467,16.12,1245,13.68,564,6.34,373,4.19,249,2.8,120,1.33,48,0.53
秋田県,7998,156.82,851,17.37,658,12.9,690,13.53,632,12.39,382,7.49,337,6.61,278,5.45,277,5.43,342,6.71,593,11.63,806,15.8,659,12.92,498,9.76,332,6.38,272,5.23,197,3.79,125,2.4,69,1.33
山形県,11847,275.51,462,10.74,494,11.49,646,15.02,656,15.26,567,13.19,768,17.86,747,17.37,852,19.81,881,20.49,1216,28.28,1356,31.53,1188,27.63,678,15.77,493,11.47,345,8.02,279,6.49,153,3.56,66,1.53
福島県,16624,202.73,1350,16.46,1057,12.89,1348,16.44,1026,12.51,637,7.77,668,8.15,811,9.89,890,10.85,932,11.37,1296,15.8,1960,23.9,1846,22.51,1456,17.76,654,7.98,308,3.76,225,2.74,109,1.33,51,0.62
茨城県,25290,210.75,2681,22.34,1896,15.8,2186,18.22,1796,14.97,1705,14.21,1637,13.64,1771,14.76,1440,12,1199,9.99,1545,12.88,1912,15.93,1777,14.81,1741,14.51,830,6.92,447,3.73,338,2.82,270,2.25,119,0.99
栃木県,15066,198.24,606,7.97,848,11.16,1388,18.26,1251,16.46,996,13.11,1059,13.93,988,13,909,11.96,858,11.29,1144,15.05,1371,18.04,1335,17.57,1148,15.11,558,7.34,278,3.66,225,2.96,84,1.11,20,0.26
群馬県,20447,243.42,887,10.44,857,10.08,1226,14.42,1235,14.53,1203,14.15,1401,16.48,1534,18.05,1600,19.05,1486,17.69,1883,22.42,2170,25.83,1896,22.57,1725,20.54,714,8.5,326,3.88,174,2.07,92,1.08,38,0.47
埼玉県,74762,288.66,3551,13.93,4145,15.88,5874,22.51,6336,24.28,6357,24.36,7732,29.74,7541,29,6331,24.35,4598,17.62,5150,19.73,5796,22.21,4569,17.51,3686,14.18,1608,6.21,753,2.91,446,1.72,206,0.81,83,0.33
千葉県,57564,286.39,2919,14.45,3623,17.85,4958,24.54,5296,26.35,5456,26.75,5513,27.43,4819,23.86,3976,19.68,3210,15.89,3833,18.98,4667,23.1,3709,18.36,2899,14.28,1225,6.03,657,3.24,456,2.25,268,1.33,80,0.41
東京都,84334,203.71,3164,7.81,4192,10.13,6725,16.24,7672,18.53,8398,20.29,9475,22.83,8909,21.47,6964,16.74,5214,12.53,5588,13.43,5847,14.09,4777,11.48,3903,9.4,1744,4.17,819,1.96,504,1.21,298,0.72,141,0.35
神奈川県,87494,240.37,2776,7.71,4328,11.96,6809,18.71,7902,21.59,9111,25.1,10035,27.57,8606,23.51,7246,19.69,6008,16.42,6280,17.16,6787,18.59,4529,12.31,3752,10.22,1587,4.34,791,2.18,555,1.51,288,0.8,104,0.3
新潟県,23227,270.08,948,11.02,823,9.57,1177,13.69,1520,17.67,1350,15.7,1248,14.51,839,9.76,1155,13.43,1571,18.27,2734,31.79,3268,38,2498,29.05,2074,24.12,892,10.25,507,5.83,419,4.82,160,1.84,44,0.51
富山県,12699,270.19,498,10.38,578,12.04,797,16.6,795,16.56,768,16,881,18.35,768,16,796,16.58,768,16,1258,26.21,1574,32.79,1394,29.04,1034,21.54,386,8.21,195,4.24,135,2.93,55,1.17,19,0.4
石川県,13492,287.06,566,12.86,450,10.23,605,13.44,645,14.02,693,15.07,966,21,1221,25.44,1197,24.94,1193,24.85,1781,37.1,1761,36.69,1062,22.13,759,15.81,291,6.06,159,3.31,84,1.75,48,1,11,0.23
福井県,9468,242.77,435,11.15,513,13.15,647,16.59,658,16.87,660,16.92,887,22.74,909,23.31,818,20.97,626,16.05,719,18.44,840,21.54,660,16.92,578,14.82,248,6.36,149,3.82,60,1.54,44,1.13,17,0.44
山梨県,7085,172.8,346,8.44,477,11.63,781,19.05,601,14.66,434,10.59,461,11.24,398,9.71,399,9.73,315,7.68,383,9.34,518,12.63,566,13.8,597,14.56,308,7.51,177,4.32,179,4.37,111,2.71,34,0.83
長野県,16671,191.62,1183,13.44,899,10.22,1147,13.03,1063,12.08,1067,12.13,1094,12.43,959,10.9,1001,11.38,915,10.4,1380,15.68,1681,19.1,1723,19.58,1158,13.16,488,5.55,336,3.82,293,3.33,230,2.61,54,0.62
岐阜県,14388,165.38,1811,20.82,1244,14.3,1251,14.38,1076,12.37,920,10.57,1070,12.3,1045,12.01,875,10.06,780,8.97,836,9.61,1083,12.45,907,10.43,783,9,377,4.33,157,1.8,100,1.15,55,0.63,18,0.21
