報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年48週(11月25日～12月01日),2024年12月04日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週,24週,24週,25週,25週,26週,26週,27週,27週,28週,28週,29週,29週,30週,30週,31週,31週,32週,32週,33週,33週,34週,34週,35週,35週,36週,36週,37週,37週,38週,38週,39週,39週,40週,40週,41週,41週,42週,42週,43週,43週,44週,44週,45週,45週,46週,46週,47週,47週,48週,48週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1242606,252.1,62229,12.7,64106,13,87425,17.73,94820,19.22,111574,22.62,118254,23.99,101914,20.65,82850,16.78,68989,13.97,79676,16.14,85196,17.27,69519,14.08,55196,11.18,25126,5.09,13238,2.69,9108,1.85,5253,1.07,2201,0.45,1693,0.34,1395,0.28,1176,0.24,947,0.19,860,0.17,750,0.15,805,0.16,962,0.19,1392,0.28,1645,0.33,1829,0.37,1905,0.39,1940,0.39,1815,0.37,1280,0.28,1435,0.29,1878,0.38,2227,0.45,2550,0.52,2732,0.55,3148,0.64,3837,0.78,4413,0.89,3596,0.73,4289,0.87,5128,1.04,5266,1.06,9314,1.88,11698,2.37,24027,4.86
北海道,60076,270.61,2310,10.55,1666,7.4,1205,5.36,1583,7.04,2581,11.47,3772,16.76,4751,21.12,5448,24.21,6159,27.37,7842,35.01,7540,33.66,5446,24.31,3382,15.17,1538,6.9,862,3.87,542,2.43,327,1.47,144,0.67,79,0.35,65,0.29,27,0.12,34,0.15,19,0.09,29,0.13,43,0.19,14,0.06,12,0.05,15,0.07,14,0.06,15,0.07,56,0.25,80,0.36,40,0.19,32,0.14,45,0.2,30,0.13,21,0.09,11,0.05,25,0.11,60,0.27,66,0.3,77,0.35,112,0.5,157,0.7,150,0.67,286,1.28,472,2.12,892,4
青森県,10771,185.71,747,12.66,583,9.88,423,7.17,392,6.64,425,7.2,646,11.14,643,10.9,698,11.83,874,14.81,1209,20.84,1294,22.31,1057,18.22,655,11.29,395,6.81,176,3.03,109,1.88,59,1.02,11,0.2,3,0.05,0,0,7,0.12,1,0.02,6,0.1,6,0.1,1,0.02,1,0.02,5,0.09,4,0.07,2,0.04,1,0.02,3,0.05,11,0.19,9,0.16,5,0.09,0,0,0,0,0,0,1,0.02,2,0.03,5,0.09,9,0.16,5,0.09,15,0.26,12,0.21,14,0.24,50,0.86,82,1.41,115,1.98
岩手県,12799,206.44,789,12.93,602,9.87,573,9.39,802,13.15,767,12.57,906,15.1,828,13.8,766,12.77,772,12.66,890,14.59,1016,16.66,1090,17.87,812,13.31,502,7.97,343,5.44,260,4.13,144,2.29,50,0.79,29,0.46,12,0.19,9,0.14,10,0.16,3,0.05,2,0.03,5,0.08,3,0.05,2,0.03,11,0.17,13,0.21,11,0.17,12,0.19,6,0.1,9,0.14,19,0.3,11,0.17,1,0.02,5,0.08,28,0.44,10,0.16,14,0.22,4,0.06,5,0.08,33,0.52,42,0.67,21,0.33,95,1.51,161,2.56,301,4.78
宮城県,25111,279.01,1025,11.26,1056,11.6,1579,17.35,2144,23.56,2211,24.3,2329,25.59,1954,21.47,1749,19.22,1537,16.89,1910,20.99,1833,20.14,1467,16.12,1245,13.68,564,6.34,373,4.19,249,2.8,120,1.33,48,0.53,52,0.58,46,0.51,45,0.49,34,0.37,27,0.3,14,0.15,11,0.12,0,0,13,0.14,11,0.12,14,0.15,14,0.15,20,0.22,11,0.12,12,0.13,20,0.22,72,0.79,53,0.58,42,0.46,18,0.2,37,0.41,39,0.43,57,0.63,50,0.55,53,0.58,52,0.57,89,0.98,176,1.93,258,2.84,378,4.15
秋田県,8682,170.24,851,17.37,658,12.9,690,13.53,632,12.39,382,7.49,337,6.61,278,5.45,277,5.43,342,6.71,593,11.63,806,15.8,659,12.92,498,9.76,332,6.38,272,5.23,197,3.79,125,2.4,69,1.33,27,0.52,9,0.17,5,0.1,5,0.1,2,0.04,1,0.02,3,0.06,1,0.02,1,0.02,0,0,16,0.31,19,0.37,9,0.17,27,0.52,34,0.67,12,0.23,4,0.08,4,0.08,1,0.02,3,0.06,3,0.06,2,0.04,5,0.1,3,0.06,0,0,23,0.45,32,0.63,102,2,158,3.1,173,3.39
山形県,12768,304,462,10.74,494,11.49,646,15.02,656,15.26,567,13.19,768,17.86,747,17.37,852,19.81,881,20.49,1216,28.28,1356,31.53,1188,27.63,678,15.77,493,11.47,345,8.02,279,6.49,153,3.56,66,1.53,44,1.02,18,0.42,11,0.26,15,0.35,1,0.02,1,0.02,0,0,1,0.02,0,0,3,0.07,3,0.07,5,0.12,1,0.02,7,0.16,2,0.06,3,0.07,1,0.02,0,0,4,0.09,5,0.12,9,0.21,7,0.16,1,0.02,14,0.33,17,0.4,38,0.88,34,0.79,141,3.28,243,5.65,292,6.79
福島県,18306,223.24,1350,16.46,1057,12.89,1348,16.44,1026,12.51,637,7.77,668,8.15,811,9.89,890,10.85,932,11.37,1296,15.8,1960,23.9,1846,22.51,1456,17.76,654,7.98,308,3.76,225,2.74,109,1.33,51,0.62,32,0.39,12,0.15,7,0.09,9,0.11,2,0.02,4,0.05,1,0.01,4,0.05,26,0.32,30,0.37,27,0.33,7,0.09,17,0.21,14,0.17,13,0.16,15,0.18,3,0.04,9,0.11,18,0.22,27,0.33,46,0.56,62,0.76,34,0.41,45,0.55,60,0.73,53,0.65,75,0.91,206,2.51,300,3.66,524,6.39
茨城県,28428,238.89,2681,22.34,1896,15.8,2186,18.22,1796,14.97,1705,14.21,1637,13.64,1771,14.76,1440,12,1199,9.99,1545,12.88,1912,15.93,1777,14.81,1741,14.51,830,6.92,447,3.73,338,2.82,270,2.25,119,0.99,128,1.07,135,1.13,118,0.98,107,0.89,152,1.27,129,1.08,95,0.79,142,1.18,163,1.36,109,0.91,70,0.58,52,0.43,35,0.29,19,0.16,25,0.23,22,0.18,19,0.16,37,0.31,60,0.5,51,0.43,74,0.62,99,0.83,148,1.23,176,1.47,146,1.22,114,0.95,83,0.69,135,1.13,155,1.29,340,2.83
栃木県,16030,213.73,606,7.97,848,11.16,1388,18.26,1251,16.46,996,13.11,1059,13.93,988,13,909,11.96,858,11.29,1144,15.05,1371,18.04,1335,17.57,1148,15.11,558,7.34,278,3.66,225,2.96,84,1.11,20,0.26,25,0.33,11,0.14,5,0.07,1,0.01,4,0.05,3,0.04,3,0.04,12,0.16,2,0.03,5,0.07,10,0.13,17,0.22,46,0.61,9,0.12,11,0.15,9,0.12,3,0.04,5,0.07,15,0.2,10,0.13,48,0.64,38,0.5,38,0.5,39,0.51,61,0.8,62,0.82,47,0.62,78,1.03,101,1.33,246,3.24
群馬県,21665,257.92,887,10.44,857,10.08,1226,14.42,1235,14.53,1203,14.15,1401,16.48,1534,18.05,1600,19.05,1486,17.69,1883,22.42,2170,25.83,1896,22.57,1725,20.54,714,8.5,326,3.88,174,2.07,92,1.08,38,0.47,12,0.14,25,0.29,12,0.14,6,0.07,24,0.28,21,0.25,9,0.11,3,0.04,2,0.02,8,0.09,15,0.18,24,0.28,31,0.36,15,0.18,1,0.01,7,0.08,11,0.13,9,0.11,5,0.06,14,0.16,27,0.32,28,0.33,38,0.45,43,0.51,70,0.82,82,0.96,80,0.94,140,1.65,164,1.93,292,3.44
