報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,
2025年06週(02月03日～02月09日),2025年02月12日作成,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,508222,105.66,142308,33.89,172962,35.06,90770,18.4,54620,11.07,28970,5.87,18592,3.78
北海道,19437,90.4,6490,34.71,5957,26.83,2831,12.75,1794,8.08,1403,6.32,962,4.37
青森県,5141,91.8,1721,36.62,1341,23.12,729,12.57,567,9.78,501,8.64,282,4.86
岩手県,7795,125.73,2200,35.48,2225,35.89,1363,21.98,749,12.08,704,11.35,554,8.94
宮城県,10507,115.46,1519,16.69,3773,41.46,2240,24.62,1569,17.24,859,9.44,547,6.01
秋田県,2840,61.74,261,12.43,975,18.75,660,12.69,469,9.02,288,5.54,187,3.6
山形県,5259,134.85,674,25.92,1370,32.62,1127,26.83,1063,25.31,673,16.02,352,8.59
福島県,9939,122.7,3841,46.84,2970,36.22,1675,20.43,901,10.99,380,4.69,172,2.12
茨城県,15482,133.47,6018,60.18,4940,41.17,2321,19.34,1315,10.96,558,4.65,330,2.75
栃木県,7809,109.99,1460,28.63,3072,40.42,1428,18.79,947,12.46,519,6.83,383,5.04
群馬県,9441,118.01,1964,35.71,3121,36.72,1859,21.87,1143,13.45,761,8.95,593,6.98
埼玉県,25771,107.83,6190,45.85,9131,34.98,4629,17.74,3126,11.98,1599,6.13,1096,4.22
千葉県,21432,108.24,4872,28.33,8101,39.91,4002,19.62,2424,11.88,1205,5.91,828,4.1
東京都,23406,58.37,4474,13.98,9166,21.93,4297,10.28,2759,6.6,1586,3.79,1124,2.69
神奈川県,22570,65.99,2957,12.37,9636,26.55,4234,11.63,2863,7.8,1748,4.83,1132,3.13
新潟県,10892,126.65,1911,21.97,3041,35.36,1954,22.72,1773,20.62,1285,14.94,928,10.79
富山県,4753,101.13,622,13.82,1661,34.6,1067,22.23,790,16.46,413,8.6,200,4.17
石川県,6648,138.5,1239,25.81,2233,46.52,1527,31.81,919,19.15,445,9.27,285,5.94
福井県,4477,114.79,1042,26.72,1448,37.13,936,24,598,15.33,308,7.9,145,3.72
山梨県,3607,87.98,786,19.17,1568,38.24,572,13.95,387,9.44,221,5.39,73,1.78
長野県,11165,134.52,3115,47.92,3477,39.51,1905,21.65,1412,16.05,735,8.35,521,6.06
岐阜県,12033,138.31,6148,70.67,2911,33.46,1425,16.38,829,9.53,478,5.49,242,2.78
静岡県,18520,133.24,5047,36.31,6635,47.73,3368,24.23,1840,13.24,954,6.86,676,4.86
愛知県,27999,144.32,10914,55.97,8374,42.94,4318,22.26,2343,12.08,1271,6.55,779,3.99
三重県,7221,104.65,1973,36.54,2815,39.1,1333,18.51,591,8.21,329,4.57,180,2.5
