week,インフルエンザ,COVID-19,咽頭結膜熱,Ａ群溶血性レンサ球菌咽頭炎,感染性胃腸炎,水痘,手足口病,伝染性紅斑,突発性発しん,百日咳,ヘルパンギーナ,流行性耳下腺炎,急性出血性結膜炎,流行性角結膜炎,細菌性髄膜炎,無菌性髄膜炎,マイコプラズマ肺炎,クラミジア肺炎,感染性胃腸炎（ロタウイルス）,RSウイルス
2013-W01,3.91,,0.18,0.53,4.36,1.67,0.13,0.02,0.19,0,0.01,0.19,0.01,0.36,0.02,0.02,0.52,0.01,,
2013-W02,12.07,,0.36,1.53,8.44,1.92,0.16,0.07,0.5,0.01,0.02,0.34,0.03,0.69,0.01,0.02,0.83,0.05,,
2013-W03,22.58,,0.23,1.51,7.04,1.12,0.19,0.05,0.46,0.01,0.02,0.23,0.02,0.46,0.01,0.03,0.62,0.03,,
2013-W04,36.44,,0.29,1.94,7.85,1.34,0.18,0.06,0.45,0.01,0.02,0.2,0.02,0.49,0.01,0.02,0.63,0.04,,
2013-W05,35.82,,0.26,1.87,7.77,0.98,0.19,0.06,0.46,0.01,0.02,0.23,0.03,0.5,0.02,0.01,0.77,0.04,,
2013-W06,26.7,,0.29,1.99,7.75,1.29,0.17,0.05,0.46,0.01,0.02,0.2,0.02,0.47,0.02,0.03,0.56,0.03,,
2013-W07,16.31,,0.25,1.67,7.29,1.04,0.17,0.05,0.41,0.01,0.02,0.21,0.02,0.39,0.01,0.01,0.48,0.02,,
2013-W08,13.9,,0.25,2.2,8.81,1.28,0.19,0.05,0.45,0.01,0.02,0.24,0.03,0.42,0.02,0.03,0.49,0.02,,
2013-W09,12.26,,0.29,2.23,9.59,1.06,0.18,0.06,0.47,0.01,0.02,0.23,0.02,0.47,0.03,0.01,0.51,0.03,,
2013-W10,10.37,,0.32,2.37,10.39,1.23,0.2,0.05,0.48,0.01,0.02,0.25,0.03,0.48,0.03,0.01,0.5,0.04,,
2013-W11,8.13,,0.32,2.28,10.18,1.08,0.2,0.05,0.05,0.01,0.02,0.24,0.03,0.43,0.02,0.02,0.53,0.02,,
2013-W12,6.75,,0.3,1.95,8.81,1.16,0.17,0.06,0.49,0.01,0.02,0.25,0.04,0.45,0.01,0.02,0.58,0.04,,
2013-W13,4.38,,0.29,1.69,8,1.18,0.17,0.05,0.51,0.01,0.03,0.25,0.02,0.51,0.02,0.02,0.48,0.03,,
2013-W14,2.8,,0.27,1.45,6.95,1.14,0.19,0.06,0.54,0.01,0.03,0.25,0.02,0.5,0.02,0.04,0.42,0.03,,
2013-W15,2,,0.29,1.62,7.01,1.06,0.28,0.06,0.55,0.01,0.05,0.24,0.02,0.56,0.02,0.03,0.46,0.03,,
2013-W16,2.89,,0.35,2.1,8.1,1.01,0.3,0.09,0.61,0.01,0.05,0.25,0.01,0.59,0.02,0.02,0.52,0.04,,
2013-W17,3.07,,0.4,2.19,8.84,1.14,0.36,0.07,0.64,0.01,0.06,0.24,0.02,0.57,0.03,0.05,0.53,0.04,,
2013-W18,2.36,,0.3,1.39,5.99,0.93,0.32,0.05,0.4,0.01,0.05,0.19,0.02,0.42,0.02,0.02,0.47,0.02,,
2013-W19,1.91,,0.47,1.88,8.04,1.55,0.38,0.08,0.61,0.01,0.07,0.26,0.05,0.65,0.01,0.03,0.45,0.06,,
2013-W20,1.87,,0.49,2.38,8.65,1.38,0.5,0.08,0.63,0.01,0.11,0.3,0.03,0.65,0.02,0.02,0.49,0.04,,
2013-W21,1.21,,0.64,2.31,7.63,1.5,0.64,0.1,0.68,0.01,0.15,0.28,0.03,0.71,0.02,0.03,0.51,0.04,,
2013-W22,0.7,,0.7,2.29,6.83,1.54,0.7,0.08,0.72,0.01,0.17,0.31,0.04,0.69,0.02,0.02,0.51,0.03,,
2013-W23,0.43,,0.7,2.15,5.99,1.3,0.99,0.08,0.65,0.01,0.3,0.3,0.03,0.69,0.01,0.04,0.54,0.03,,
2013-W24,0.26,,0.71,2.16,5.47,1.35,1.33,0.1,0.66,0.01,0.41,0.28,0.03,0.61,0.01,0.04,0.57,0.02,,
2013-W25,0.17,,0.71,1.83,4.68,1.17,2.09,0.08,0.66,0.01,0.63,0.33,0.02,0.6,0.01,0.03,0.54,0.02,,
2013-W26,0.13,,0.65,1.78,4.31,1.02,3.38,0.08,0.67,0.01,1.25,0.29,0.03,0.59,0.02,0.05,0.52,0.03,,
2013-W27,0.1,,0.66,1.6,4.18,0.93,4.73,0.1,0.65,0.01,1.78,0.32,0.03,0.65,0.03,0.06,0.47,0.03,,
2013-W28,0.07,,0.65,1.45,3.8,0.97,7.01,0.11,0.63,0.02,2.75,0.34,0.02,0.63,0.01,0.06,0.41,0.03,,
2013-W29,0.05,,0.55,1.05,3.26,0.72,8.09,0.06,0.6,0.01,2.84,0.28,0.01,0.61,0.01,0.08,0.4,0.03,,
2013-W30,0.03,,0.58,1.13,3.34,0.73,8.83,0.05,0.62,0.01,3.38,0.28,0.01,0.69,0.03,0.08,0.42,0.05,,
2013-W31,0.02,,0.58,0.95,3.24,0.66,8.66,0.06,0.64,0.01,3.26,0.28,0.01,0.68,0.02,0.1,0.39,0.03,,
2013-W32,0.02,,0.54,0.8,2.93,0.6,7.95,0.06,0.58,0.01,2.92,0.22,0.01,0.74,0.02,0.09,0.38,0.03,,
2013-W33,0.02,,0.44,0.55,2.12,0.55,5.23,0.04,0.44,0.01,1.84,0.22,0.01,0.61,0.03,0.09,0.45,0.03,,
2013-W34,0.01,,0.47,0.64,2.96,0.54,4.24,0.04,0.62,0.01,1.48,0.22,0.03,0.73,0.03,0.09,0.39,0.03,,
2013-W35,0.02,,0.49,0.68,2.83,0.35,4.25,0.05,0.67,0.01,1.42,0.23,0.02,0.71,0.01,0.07,0.32,0.03,,
2013-W36,0.01,,0.53,0.78,3.06,0.49,3.88,0.04,0.63,0.01,1.15,0.21,0.01,0.76,0.01,0.08,0.32,0.03,,
2013-W37,0.02,,0.53,0.86,3.05,0.46,3.96,0.05,0.61,0.01,1.08,0.23,0.01,0.81,0.01,0.07,0.41,0.01,,
2013-W38,0.02,,0.39,0.74,2.66,0.49,2.94,0.04,0.55,0.01,0.66,0.23,0.01,0.65,0.01,0.07,0.34,0.02,,
2013-W39,0.02,,0.29,0.72,2.62,0.44,1.87,0.04,0.48,0.01,0.4,0.23,0.01,0.61,0.02,0.06,0.33,0.02,,
2013-W40,0.03,,0.29,0.96,3,0.51,1.71,0.04,0.59,0.01,0.33,0.23,0.01,0.54,0.02,0.04,0.36,0.03,,
2013-W41,0.04,,0.31,0.99,3.07,0.57,1.67,0.05,0.6,0.01,0.28,0.23,0,0.48,0.01,0.06,0.39,0.03,,
